SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
30384,10793,2,25,19,27,179,21.26,14.17,NA,0,9,0,1,0,0,0,0,0,0,0
30391,4366,2,35,29,139,167,14.719999999999999,9.19,NA,0,7,0,0,0,0,0,0,1,0,0
30397,5302,2,21,16,1,56,3.85,3.47,NA,0,5,0,0,0,0,0,0,0,0,1
30398,3102,2,70,20,1,103,11.299999999999999,9.159999999999998,NA,0,5,0,0,0,0,0,0,0,0,1
30412,8241,2,40,22,242,136,9.490000000000002,7.09,NA,0,4,0,0,0,0,0,0,0,1,0
30414,3385,2,35,10,8,118,7.8,5.539999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
30416,1966,2,70,23,8,151,19.16,11.080000000000002,NA,0,1,0,0,0,1,0,0,0,0,0
30445,7845,2,38,25,389,360,14.549999999999997,7.919999999999998,NA,0,5,0,0,0,0,0,0,0,0,1
30450,4133,2,49,7,323,284,13.089999999999998,9.45,NA,1,8,1,0,0,0,0,0,0,0,0
30476,3890,2,50,19,10,150,13.77,10.349999999999998,NA,0,6,0,0,0,0,1,0,0,0,0
30491,11837,2,32,20,40,323,17.070000000000004,10.32,NA,0,3,0,0,0,0,0,1,0,0,0
30549,3406,2,33,17,93,247,21.169999999999998,14.749999999999998,NA,0,1,0,0,0,1,0,0,0,0,0
30574,2099,2,38,16,19,149,13.08,10.2,NA,0,8,1,0,0,0,0,0,0,0,0
30639,10496,2,40,25,12,122,9.65,6.720000000000001,NA,0,1,0,0,0,1,0,0,0,0,0
30640,9311,2,70,25,63,222,25.739999999999995,18.179999999999996,NA,0,7,0,0,0,0,0,0,1,0,0
30661,9725,2,18,16,116,253,18.409999999999997,12.73,NA,0,1,0,0,0,1,0,0,0,0,0
30681,10425,2,48,5,15,146,10.59,8.02,NA,0,9,0,1,0,0,0,0,0,0,0
30687,7243,2,62,26,14,155,15.88,10.799999999999995,NA,0,4,0,0,0,0,0,0,0,1,0
30698,7557,2,18,5,17,116,10.01,8.08,NA,0,8,1,0,0,0,0,0,0,0,0
30746,2960,2,38,9,45,74,8.07,5.15,NA,0,8,1,0,0,0,0,0,0,0,0
30815,1339,2,60,27,28,263,20.000000000000004,13.989999999999998,NA,0,3,0,0,0,0,0,1,0,0,0
30830,6808,2,35,22,130,206,13.92,9.79,NA,0,5,0,0,0,0,0,0,0,0,1
30836,9283,2,60,12,13,219,16.389999999999997,9.57,NA,0,2,0,0,1,0,0,0,0,0,0
30838,5547,2,38,19,26,228,20.220000000000002,13.020000000000001,NA,0,3,0,0,0,0,0,1,0,0,0
30841,8334,2,30,28,12,182,17.08,10.42,NA,0,1,0,0,0,1,0,0,0,0,0
30848,1580,2,18,23,13,111,8.629999999999999,6.279999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
30850,174,2,28,8,2,106,10.53,8.14,NA,0,3,0,0,0,0,0,1,0,0,0
30867,11301,2,27,12,338,281,13.56,7.14,NA,0,8,1,0,0,0,0,0,0,0,0
30915,9104,2,58,7,34,84,7.809999999999999,4.729999999999999,NA,1,8,1,0,0,0,0,0,0,0,0
30951,9277,2,26,8,31,144,9.81,6.609999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
31031,2690,2,25,16,29,146,9.43,6.890000000000001,NA,0,5,0,0,0,0,0,0,0,0,1
31055,10656,2,30,8,17,124,10.12,5.82,NA,0,4,0,0,0,0,0,0,0,1,0
31072,527,2,34,11,8,75,5.12,3.2600000000000002,NA,0,3,0,0,0,0,0,1,0,0,0
31115,3931,2,60,27,5,157,15.22,11.869999999999997,NA,0,3,0,0,0,0,0,1,0,0,0
31145,11699,2,42,10,11,168,13.74,9.069999999999997,NA,0,4,0,0,0,0,0,0,0,1,0
31149,980,2,50,23,22,91,10.21,6.3,NA,0,1,0,0,0,1,0,0,0,0,0
31199,371,2,58,9,25,186,17.500000000000004,11.509999999999998,NA,0,7,0,0,0,0,0,0,1,0,0
31241,1632,2,50,11,20,272,27.07,17.240000000000002,NA,0,2,0,0,1,0,0,0,0,0,0
