SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_8,adm2_2,adm2_3,adm2_10
5739,473,2,25,29,5,1,NA,2221,0,5,0,0,1,0,0,0,0,0,0,0
5758,5773,2,84,8,5,0,NA,1620,0,1,0,0,0,0,0,1,0,0,0,0
5798,123,2,55,8,1,0,NA,1645,1,6,0,0,0,0,1,0,0,0,0,0
5811,8959,2,45,27,4,1,NA,1288,0,5,0,0,1,0,0,0,0,0,0,0
5899,7856,2,20,6,3,1,NA,722,0,1,0,0,0,0,0,1,0,0,0,0
5908,11288,2,55,6,6,0,NA,2612,0,5,0,0,1,0,0,0,0,0,0,0
5994,2248,2,28,13,5,1,NA,1911,0,10,0,0,0,0,0,0,0,0,0,1
6007,4448,2,38,20,3,1,NA,1322,0,2,0,0,0,0,0,0,0,1,0,0
6010,10943,2,45,11,4,1,NA,1312,0,10,0,0,0,0,0,0,0,0,0,1
6053,7964,2,43,20,3,1,NA,2464,0,2,0,0,0,0,0,0,0,1,0,0
6057,1490,2,60,14,4,0,NA,998,0,8,0,0,0,0,0,0,1,0,0,0
6058,9526,2,50,18,5,0,NA,1587,0,1,0,0,0,0,0,1,0,0,0,0
6089,2987,2,64,5,5,0,NA,2654,0,5,0,0,1,0,0,0,0,0,0,0
6160,433,2,65,22,5,0,NA,1778,0,6,0,0,0,0,1,0,0,0,0,0
6162,6559,2,28,20,3,1,NA,1252,0,4,0,0,0,1,0,0,0,0,0,0
6185,388,2,70,11,4,0,NA,1414,0,10,0,0,0,0,0,0,0,0,0,1
6218,328,2,28,2,4,1,NA,1320,0,2,0,0,0,0,0,0,0,1,0,0
6241,2086,2,70,24,5,0,NA,738,0,7,1,0,0,0,0,0,0,0,0,0
6275,5184,2,25,18,1,1,NA,667,1,8,0,0,0,0,0,0,1,0,0,0
6287,5696,2,65,25,6,0,NA,1431,0,1,0,0,0,0,0,1,0,0,0,0
6309,5160,2,60,19,4,0,NA,1250,0,3,0,0,0,0,0,0,0,0,1,0
6311,3190,2,55,20,5,0,NA,1483,0,3,0,0,0,0,0,0,0,0,1,0
6355,6466,2,55,24,5,0,NA,1489,0,7,1,0,0,0,0,0,0,0,0,0
6363,799,2,42,30,4,1,NA,1391,0,1,0,0,0,0,0,1,0,0,0,0
6386,1363,2,25,4,7,1,NA,1757,1,7,1,0,0,0,0,0,0,0,0,0
6414,1166,2,26,5,5,1,NA,1087,0,5,0,0,1,0,0,0,0,0,0,0
6417,5168,2,26,28,2,1,NA,2065,0,1,0,0,0,0,0,1,0,0,0,0
6426,4749,2,24,29,3,1,NA,2037,0,1,0,0,0,0,0,1,0,0,0,0
6427,3126,2,30,13,4,1,NA,1150,0,3,0,0,0,0,0,0,0,0,1,0
