SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
11923,3882,1,34,20,22,199,17.34,13.139999999999997,0,9,0,1,0,0,0,0,0,0,0
11927,4247,2,35,5,64,113,6.669999999999999,6.06,0,8,1,0,0,0,0,0,0,0,0
11940,4717,2,19,30,8,192,19.679999999999996,13.87,0,5,0,0,0,0,0,0,0,0,1
11953,3790,2,60,25,31,153,7.209999999999999,4.55,0,5,0,0,0,0,0,0,0,0,1
11963,5132,1,60,16,24,284,27.86,18.35,0,1,0,0,0,1,0,0,0,0,0
11966,3882,1,55,20,22,184,15.379999999999997,11.699999999999998,0,9,0,1,0,0,0,0,0,0,0
11969,10915,2,34,23,1,161,28.660000000000004,11.870000000000001,0,9,0,1,0,0,0,0,0,0,0
11976,11152,2,18,12,7,163,11.85,10.35,0,8,1,0,0,0,0,0,0,0,0
11982,10374,2,45,28,34,93,9.959999999999999,6.579999999999999,0,6,0,0,0,0,1,0,0,0,0
11987,8463,2,22,12,322,165,9.9,7.17,0,6,0,0,0,0,1,0,0,0,0
12016,9164,2,55,16,157,151,10.13,6.889999999999999,0,8,1,0,0,0,0,0,0,0,0
12025,6714,1,98,2,12,283,15.239999999999998,7.55,0,4,0,0,0,0,0,0,0,1,0
12030,1681,1,38,21,119,213,20.31,14.2,0,5,0,0,0,0,0,0,0,0,1
12049,1868,2,31,12,30,130,9.96,6.919999999999999,0,6,0,0,0,0,1,0,0,0,0
12072,11184,2,38,3,8,106,13.9,9.27,0,8,1,0,0,0,0,0,0,0,0
12075,2856,2,32,25,8,118,8.67,6.970000000000001,0,6,0,0,0,0,1,0,0,0,0
12080,8957,2,50,19,10,111,8.819999999999999,6.33,0,9,0,1,0,0,0,0,0,0,0
