SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
17321,7036,2,41,24,1,1,NA,1703,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17467,6179,2,45,4,2,1,NA,1570,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17470,7023,2,33,26,7,1,NA,1421,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17533,2374,2,35,31,2,1,NA,1700,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17541,7177,2,22,12,4,1,NA,2064,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17546,11609,2,18,10,7,1,NA,1265,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17647,11422,2,45,28,4,1,NA,1224,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17648,7342,2,31,26,6,1,NA,2272,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17658,7479,2,49,5,3,1,NA,1329,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17685,3632,2,55,5,4,0,NA,1844,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17692,2647,2,46,6,2,1,NA,1947,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17698,10163,2,26,2,5,1,NA,1409,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17746,561,2,27,25,2,1,NA,2774,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17756,11032,2,24,17,4,1,NA,1540,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17771,4010,2,30,3,3,1,NA,1299,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17790,8281,2,40,13,1,1,NA,2082,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17799,5417,2,55,14,2,0,NA,1651,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17903,6501,2,22,11,2,1,NA,1418,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17930,11647,2,29,18,6,1,NA,2928,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17942,7182,2,65,13,1,0,NA,2107,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18029,5672,2,34,18,6,1,NA,2174,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18083,4047,2,55,6,1,0,NA,2174,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18112,7873,2,36,27,4,1,NA,1690,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18144,9973,2,45,21,5,1,NA,1725,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18160,5490,2,40,15,3,1,NA,1794,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18164,5104,2,45,11,2,1,NA,2614,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18171,7587,2,60,30,4,0,NA,1100,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18175,5240,2,26,24,5,1,NA,1995,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18265,7864,2,25,27,3,1,NA,1245,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18274,7213,2,42,31,5,1,NA,2142,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18340,5507,2,21,31,3,1,NA,1431,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18409,6745,2,30,11,2,1,NA,1851,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18451,1131,2,24,31,2,1,NA,1183,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
