SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_8,adm2_7,adm2_3,adm2_10,adm2_6,adm2_5,adm2_9,adm2_1
30877,9553,2,54,3,1,0,NA,1892,1,9,0,0,0,0,0,0,0,0,1,0
30881,2369,2,40,12,2,1,NA,1821,0,7,0,0,0,1,0,0,0,0,0,0
30904,3216,2,50,26,5,0,NA,3210,0,1,0,0,0,0,0,0,0,0,0,1
30921,167,2,46,10,6,1,NA,1854,0,8,0,0,1,0,0,0,0,0,0,0
30928,8425,2,30,21,2,1,NA,1048,0,8,0,0,1,0,0,0,0,0,0,0
30932,2598,2,50,7,3,0,NA,1247,0,5,0,0,0,0,0,0,0,1,0,0
30960,3937,2,40,1,3,1,NA,1230,0,2,1,0,0,0,0,0,0,0,0,0
30961,10443,2,20,24,4,1,NA,1205,0,6,0,0,0,0,0,0,1,0,0,0
30989,6392,2,60,21,3,0,NA,2249,0,3,0,0,0,0,1,0,0,0,0,0
30991,5219,2,60,4,6,0,NA,1366,0,7,0,0,0,1,0,0,0,0,0,0
30997,10634,2,26,22,4,1,NA,1666,0,3,0,0,0,0,1,0,0,0,0,0
31027,9122,2,35,19,7,1,NA,1263,1,8,0,0,1,0,0,0,0,0,0,0
31057,6485,2,50,13,2,0,NA,1765,0,9,0,0,0,0,0,0,0,0,1,0
31084,10212,2,68,2,5,0,NA,1106,0,8,0,0,1,0,0,0,0,0,0,0
31085,2215,2,47,8,4,1,NA,1736,0,8,0,0,1,0,0,0,0,0,0,0
31133,7198,2,65,5,7,0,NA,771,1,1,0,0,0,0,0,0,0,0,0,1
31156,9124,2,34,6,7,1,NA,1174,1,2,1,0,0,0,0,0,0,0,0,0
31175,5670,2,18,15,7,1,NA,2166,1,10,0,0,0,0,0,1,0,0,0,0
31191,3508,2,30,22,2,1,NA,1923,0,6,0,0,0,0,0,0,1,0,0,0
31206,11489,2,54,24,5,0,NA,1574,0,7,0,0,0,1,0,0,0,0,0,0
31207,249,2,52,10,7,0,NA,2162,1,7,0,0,0,1,0,0,0,0,0,0
31222,6197,2,34,14,2,1,NA,1732,0,4,0,1,0,0,0,0,0,0,0,0
31231,6896,2,40,10,2,1,NA,1993,0,3,0,0,0,0,1,0,0,0,0,0
31255,4675,2,46,5,1,1,NA,1228,1,5,0,0,0,0,0,0,0,1,0,0
31266,8592,2,55,8,6,0,NA,841,0,10,0,0,0,0,0,1,0,0,0,0
31296,5296,2,49,24,4,1,NA,920,0,6,0,0,0,0,0,0,1,0,0,0
31339,9312,2,24,8,5,1,NA,3629,0,7,0,0,0,1,0,0,0,0,0,0
31404,362,2,60,6,7,0,NA,1632,1,2,1,0,0,0,0,0,0,0,0,0
31409,6431,2,35,22,5,1,NA,1453,0,1,0,0,0,0,0,0,0,0,0,1
31415,5559,2,36,28,3,1,NA,2849,0,2,1,0,0,0,0,0,0,0,0,0
31490,796,2,35,5,3,1,NA,1566,0,9,0,0,0,0,0,0,0,0,1,0
31500,2977,2,20,6,2,1,NA,2098,0,8,0,0,1,0,0,0,0,0,0,0
31564,4164,2,19,20,2,1,NA,1768,0,1,0,0,0,0,0,0,0,0,0,1
31572,10690,2,60,6,4,0,NA,2217,0,1,0,0,0,0,0,0,0,0,0,1
31621,8579,2,42,5,7,1,NA,1291,1,1,0,0,0,0,0,0,0,0,0,1
31622,756,2,43,30,6,1,NA,1297,0,5,0,0,0,0,0,0,0,1,0,0
31634,6956,2,35,5,7,1,NA,1692,1,7,0,0,0,1,0,0,0,0,0,0
31742,2013,2,65,4,6,0,NA,1096,0,7,0,0,0,1,0,0,0,0,0,0
31779,10857,2,39,10,4,1,NA,2137,0,2,1,0,0,0,0,0,0,0,0,0
31788,1936,2,45,1,6,1,NA,1323,0,9,0,0,0,0,0,0,0,0,1,0
31793,3534,2,50,28,4,0,NA,1273,0,5,0,0,0,0,0,0,0,1,0,0
31804,7160,2,40,6,4,1,NA,2235,0,1,0,0,0,0,0,0,0,0,0,1
31814,5856,2,38,11,6,1,NA,2304,0,5,0,0,0,0,0,0,0,1,0,0
31870,2471,2,47,18,6,1,NA,1220,0,7,0,0,0,1,0,0,0,0,0,0
31915,1880,2,38,4,2,1,NA,2218,0,1,0,0,0,0,0,0,0,0,0,1
31921,1078,2,23,17,6,1,NA,1111,0,3,0,0,0,0,1,0,0,0,0,0
31922,6817,2,19,23,4,1,NA,1825,0,8,0,0,1,0,0,0,0,0,0,0
