SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_5,adm2_9,adm2_1,adm2_11,adm2_10,adm2_4,adm2_6,adm2_12,adm2_3,adm2_7,adm2_8,adm2_2
1525,3263,2,28,5,106,187,17.169999999999998,10.479999999999999,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1556,4996,2,40,18,69,159,8.74,4.960000000000001,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1559,10287,1,18,29,110,222,17.67,12.249999999999998,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1569,6036,1,59,24,478,116,7.18,2.9699999999999998,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1576,3533,2,19,21,65,156,8.67,5.300000000000001,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1578,7328,2,23,15,177,350,24.169999999999998,12.219999999999999,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1591,3708,1,50,6,272,336,26.18,16.4,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1592,604,2,76,29,56,157,10.799999999999997,7.059999999999999,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1593,1595,1,30,8,604,276,25.299999999999997,16.65,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1630,9855,2,23,22,193,297,21.21,14.369999999999997,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1635,1985,2,65,8,56,162,12.680000000000001,7.429999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1686,9853,2,58,11,179,243,16.62,10.64,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1689,606,1,30,18,13,116,6.449999999999999,8.209999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1699,8435,2,47,20,292,133,11.690000000000001,7.35,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1733,1112,1,38,13,1081,74,11.21,5.24,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1746,72,2,40,15,36,82,5.429999999999999,5.829999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1750,7829,2,56,21,39,241,14.669999999999998,9.629999999999999,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1776,3264,2,18,16,85,317,26.900000000000002,15.330000000000002,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1779,10289,2,60,26,10,392,17.89,9.389999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1816,9447,2,30,25,40,195,26.54,13.780000000000001,0,4,0,0,0,0,0,1,0,0,0,0,0,0
