SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
32252,740,1,21,19,6,NA,NA,691,0,1,0,0,1,0,0,0,0,0,0,0
32284,3867,1,29,22,5,NA,NA,1445,0,6,0,0,0,0,0,0,0,0,1,0
32394,5607,1,42,29,6,NA,NA,1546,0,5,0,0,0,0,0,0,0,1,0,0
32411,10455,1,40,11,4,NA,NA,1722,0,10,0,0,0,0,0,0,1,0,0,0
32417,3021,1,55,29,7,NA,NA,2698,1,3,0,1,0,0,0,0,0,0,0,0
32427,2344,1,70,14,2,NA,NA,1269,0,7,0,0,0,0,0,1,0,0,0,0
32454,5220,1,41,21,4,NA,NA,1296,0,4,0,0,0,0,0,0,0,0,0,1
32461,5698,1,30,21,5,NA,NA,2195,0,5,0,0,0,0,0,0,0,1,0,0
32547,4222,1,24,24,7,NA,NA,2045,1,6,0,0,0,0,0,0,0,0,1,0
32596,6209,1,25,29,3,NA,NA,2069,0,1,0,0,1,0,0,0,0,0,0,0
32613,2155,1,27,15,3,NA,NA,2377,0,9,1,0,0,0,0,0,0,0,0,0
32692,11638,1,27,20,5,NA,NA,2338,0,3,0,1,0,0,0,0,0,0,0,0
32702,6188,1,35,18,3,NA,NA,1628,0,3,0,1,0,0,0,0,0,0,0,0
32725,11198,1,30,7,6,NA,NA,1789,0,5,0,0,0,0,0,0,0,1,0,0
32741,5611,1,40,8,4,NA,NA,2787,0,6,0,0,0,0,0,0,0,0,1,0
32876,1359,1,52,11,4,NA,NA,2673,0,10,0,0,0,0,0,0,1,0,0,0
32942,9556,1,43,16,6,NA,NA,1473,0,8,0,0,0,1,0,0,0,0,0,0
32950,5059,1,50,29,3,NA,NA,625,0,1,0,0,1,0,0,0,0,0,0,0
32962,11342,1,18,30,6,NA,NA,1795,0,8,0,0,0,1,0,0,0,0,0,0
32963,8135,1,55,15,5,NA,NA,1269,0,8,0,0,0,1,0,0,0,0,0,0
33002,9905,1,58,23,1,NA,NA,1661,1,10,0,0,0,0,0,0,1,0,0,0
