SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
2486,9249,2,40,10,3,1,NA,27,10,1,NA,291,10,1,NA,20.299999999999997,10,1,NA,12.589999999999998,10,1,NA,0.0756,0,2,0,0,1,0,0,0,0,0,0
2540,7846,2,32,14,2,1,NA,95,14,1,NA,208,14,1,NA,11.799999999999999,14,1,NA,8.86,14,1,NA,0,0,9,0,1,0,0,0,0,0,0,0
2546,5514,2,75,28,4,NA,NA,13,28,NA,NA,141,28,NA,NA,10.270000000000001,28,NA,NA,7.619999999999999,28,0,NA,0.45,0,2,0,0,1,0,0,0,0,0,0
2579,10666,2,35,4,2,1,NA,6,4,1,NA,140,4,1,NA,9.09,4,1,NA,8.699999999999998,4,1,NA,0.4383000000000001,0,3,0,0,0,0,0,1,0,0,0
2638,4612,2,32,20,3,1,NA,4,20,1,NA,142,20,1,NA,16.58,20,1,NA,11.23,20,1,NA,0.9846,0,4,0,0,0,0,0,0,0,1,0
2642,10599,2,38,25,6,1,NA,20,25,1,NA,143,25,1,NA,10.91,25,1,NA,8.389999999999997,25,1,NA,0,0,6,0,0,0,0,1,0,0,0,0
2670,9205,2,58,25,2,NA,NA,842,25,NA,NA,300,25,NA,NA,51.78,25,NA,NA,25.990000000000002,25,0,NA,0,0,7,0,0,0,0,0,0,1,0,0
2687,5645,2,32,22,5,1,NA,95,22,1,NA,141,22,1,NA,15.960000000000003,22,1,NA,10.520000000000001,22,1,NA,0.22590000000000005,0,4,0,0,0,0,0,0,0,1,0
2700,9255,2,23,14,2,1,NA,18,14,1,NA,102,14,1,NA,10.549999999999999,14,1,NA,7.799999999999999,14,1,NA,1.6776000000000002,0,2,0,0,1,0,0,0,0,0,0
2701,7942,2,43,3,3,1,NA,20,3,1,NA,130,3,1,NA,11.07,3,1,NA,7.8100000000000005,3,1,NA,0.2682,0,8,1,0,0,0,0,0,0,0,0
2751,2467,2,28,22,5,1,NA,285,22,1,NA,278,22,1,NA,17.009999999999998,22,1,NA,12.719999999999997,22,1,NA,0,0,2,0,0,1,0,0,0,0,0,0
2759,1775,2,57,5,2,NA,NA,47,5,NA,NA,132,5,NA,NA,12.25,5,NA,NA,7.2,5,0,NA,0.5085000000000001,0,9,0,1,0,0,0,0,0,0,0
2798,8306,2,28,22,7,1,NA,10,22,1,NA,156,22,1,NA,10.549999999999999,22,1,NA,7.670000000000001,22,1,NA,0,1,2,0,0,1,0,0,0,0,0,0
2814,5624,2,30,7,2,1,NA,41,7,1,NA,136,7,1,NA,11.7,7,1,NA,7.979999999999999,7,1,NA,3.15,0,7,0,0,0,0,0,0,1,0,0
2838,1360,2,18,18,1,1,NA,37,18,1,NA,120,18,1,NA,8.789999999999997,18,1,NA,7.31,18,1,NA,0.1944,1,9,0,1,0,0,0,0,0,0,0
2853,4445,2,40,6,3,1,NA,16,6,1,NA,147,6,1,NA,15.149999999999995,6,1,NA,10.649999999999997,6,1,NA,0.8739,0,4,0,0,0,0,0,0,0,1,0
2932,11700,2,56,10,3,NA,NA,121,10,NA,NA,192,10,NA,NA,12.76,10,NA,NA,8.45,10,0,NA,0,0,8,1,0,0,0,0,0,0,0,0
2949,7218,2,22,8,1,1,NA,9,8,1,NA,164,8,1,NA,12.379999999999999,8,1,NA,9.28,8,1,NA,1.125,1,8,1,0,0,0,0,0,0,0,0
2962,9887,2,35,28,3,1,NA,11,28,1,NA,144,28,1,NA,14.22,28,1,NA,9.95,28,1,NA,0.8995000000000001,0,1,0,0,0,1,0,0,0,0,0
2974,1448,2,48,13,6,1,NA,16,13,1,NA,132,13,1,NA,11.749999999999998,13,1,NA,8.809999999999999,13,1,NA,0,0,2,0,0,1,0,0,0,0,0,0
3027,11038,2,60,2,3,NA,NA,206,2,NA,NA,239,2,NA,NA,16.130000000000003,2,NA,NA,11,2,0,NA,0.7497,0,4,0,0,0,0,0,0,0,1,0
3031,7523,2,25,24,2,1,NA,28,24,1,NA,130,24,1,NA,9.940000000000001,24,1,NA,6.05,24,1,NA,0,0,2,0,0,1,0,0,0,0,0,0
3062,3288,2,60,8,1,NA,NA,59,8,NA,NA,194,8,NA,NA,9.64,8,NA,NA,6.080000000000001,8,0,NA,0.32130000000000003,1,8,1,0,0,0,0,0,0,0,0
3079,3584,2,49,18,5,1,NA,22,18,1,NA,110,18,1,NA,10.679999999999998,18,1,NA,6.719999999999999,18,1,NA,2.1566000000000005,0,6,0,0,0,0,1,0,0,0,0
3113,9116,2,19,29,3,1,NA,36,29,1,NA,217,29,1,NA,11.39,29,1,NA,11.16,29,1,NA,0,0,6,0,0,0,0,1,0,0,0,0
3114,757,2,52,2,3,NA,NA,5,2,NA,NA,180,2,NA,NA,16.48,2,NA,NA,11.44,2,0,NA,0.2817,0,4,0,0,0,0,0,0,0,1,0
3136,8895,2,33,10,2,1,NA,6,10,1,NA,102,10,1,NA,11.51,10,1,NA,8.39,10,1,NA,0.28350000000000003,0,8,1,0,0,0,0,0,0,0,0
3151,6230,2,50,27,3,NA,NA,28,27,NA,NA,231,27,NA,NA,26.580000000000002,27,NA,NA,18.439999999999998,27,0,NA,0.441,0,7,0,0,0,0,0,0,1,0,0
3161,6348,2,20,19,3,1,NA,29,19,1,NA,76,19,1,NA,6.330000000000001,19,1,NA,5.8999999999999995,19,1,NA,0,0,9,0,1,0,0,0,0,0,0,0
3176,4958,2,25,18,1,1,NA,43,18,1,NA,100,18,1,NA,9.37,18,1,NA,6.600000000000001,18,1,NA,0.6849,1,9,0,1,0,0,0,0,0,0,0
