SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
25007,6208,1,45,21,4,NA,NA,1607,0,1,0,0,0,0,0,1,0,0,0,0
25020,5768,1,18,16,3,NA,NA,1893,0,7,1,0,0,0,0,0,0,0,0,0
25029,875,1,30,31,2,NA,NA,2330,0,5,0,0,0,0,0,0,0,0,1,0
25105,7770,1,80,20,2,NA,NA,2601,0,1,0,0,0,0,0,1,0,0,0,0
25157,3885,1,24,6,2,NA,NA,2924,0,8,0,0,0,0,1,0,0,0,0,0
25164,4506,1,25,13,2,NA,NA,1313,0,9,0,1,0,0,0,0,0,0,0,0
25169,6450,1,32,6,4,NA,NA,2133,0,10,0,0,0,0,0,0,0,1,0,0
25200,6282,1,32,15,1,NA,NA,1137,1,3,0,0,1,0,0,0,0,0,0,0
25225,5177,1,21,18,6,NA,NA,1779,0,7,1,0,0,0,0,0,0,0,0,0
25336,11465,1,63,17,6,NA,NA,3508,0,1,0,0,0,0,0,1,0,0,0,0
25369,7757,1,42,9,1,NA,NA,2480,1,3,0,0,1,0,0,0,0,0,0,0
25377,5830,1,45,4,2,NA,NA,2556,0,1,0,0,0,0,0,1,0,0,0,0
25379,2358,1,26,4,7,NA,NA,3259,1,8,0,0,0,0,1,0,0,0,0,0
25401,3937,1,65,1,3,NA,NA,1378,0,2,0,0,0,0,0,0,0,0,0,1
25406,1620,1,62,23,5,NA,NA,1472,0,8,0,0,0,0,1,0,0,0,0,0
25457,3163,1,20,23,7,NA,NA,1872,1,10,0,0,0,0,0,0,0,1,0,0
25468,2462,1,45,17,2,NA,NA,825,0,10,0,0,0,0,0,0,0,1,0,0
25507,7452,1,48,4,5,NA,NA,2991,0,2,0,0,0,0,0,0,0,0,0,1
25539,11063,1,26,26,7,NA,NA,1446,1,2,0,0,0,0,0,0,0,0,0,1
25565,260,1,21,4,2,NA,NA,2197,0,10,0,0,0,0,0,0,0,1,0,0
25616,8160,1,45,4,7,NA,NA,1956,1,8,0,0,0,0,1,0,0,0,0,0
25620,8206,1,38,7,2,NA,NA,1638,0,7,1,0,0,0,0,0,0,0,0,0
25639,1560,1,60,5,7,NA,NA,2479,1,7,1,0,0,0,0,0,0,0,0,0
