SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
818,3997,2,70,12,7,NA,NA,193,12,NA,NA,131,12,NA,NA,6.9799999999999995,12,NA,NA,7.26,12,0,NA,1.827,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
882,2515,2,31,2,4,1,NA,94,2,1,NA,233,2,1,NA,11.089999999999998,2,1,NA,7.549999999999998,2,1,NA,0.6147,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
888,8412,2,38,25,4,1,NA,768,25,1,NA,1016,25,1,NA,10.379999999999999,25,1,NA,6.02,25,1,NA,3.9594,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,7478,2,50,27,3,NA,NA,99,27,NA,NA,262,27,NA,NA,10.91,27,NA,NA,8.809999999999999,27,0,NA,3.6,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
937,11193,2,25,23,7,1,NA,157,23,1,NA,148,23,1,NA,15.5,23,1,NA,8.28,23,1,NA,0.8190000000000001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1007,4926,2,85,10,7,NA,NA,68,10,NA,NA,100,10,NA,NA,5.109999999999999,10,NA,NA,4.2299999999999995,10,0,NA,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1052,5257,2,40,11,2,1,NA,113,11,1,NA,145,11,1,NA,6.999999999999999,11,1,NA,6.16,11,1,NA,1.521,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1054,2207,2,23,27,3,1,NA,119,27,1,NA,266,27,1,NA,15.530000000000005,27,1,NA,8.179999999999998,27,1,NA,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1133,6053,2,38,30,6,1,NA,22,30,1,NA,121,30,1,NA,7.310000000000001,30,1,NA,6.039999999999997,30,1,NA,0.18900000000000003,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1162,5332,2,22,22,7,1,NA,193,22,1,NA,159,22,1,NA,8.219999999999999,22,1,NA,5.12,22,1,NA,1.305,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1163,9061,2,44,19,4,1,NA,11,19,1,NA,96,19,1,NA,5.789999999999998,19,1,NA,5.399999999999999,19,1,NA,0.7478999999999999,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1221,3783,2,48,10,2,1,NA,1030,10,1,NA,178,10,1,NA,8.009999999999998,10,1,NA,5.5399999999999965,10,1,NA,6.695499999999999,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1290,4125,2,40,24,5,1,NA,276,24,1,NA,178,24,1,NA,9.85,24,1,NA,7.659999999999998,24,1,NA,2.5632,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1297,9259,2,38,20,1,1,NA,21,20,1,NA,157,20,1,NA,9.12,20,1,NA,8.509999999999998,20,1,NA,1.5408,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1320,11166,2,27,18,5,1,NA,158,18,1,NA,126,18,1,NA,5.259999999999999,18,1,NA,5.18,18,1,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1324,3688,2,51,30,5,NA,NA,24,30,NA,NA,102,30,NA,NA,6.369999999999998,30,NA,NA,5.1499999999999995,30,0,NA,0.279,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1365,5237,2,45,25,5,1,NA,52,25,1,NA,150,25,1,NA,9.37,25,1,NA,5.849999999999999,25,1,NA,0.5543,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
