SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
1472,1859,1,61,6,2,NA,NA,382,6,NA,NA,194,6,NA,NA,9.84,6,NA,NA,7.249999999999997,6,NA,NA,0.8937,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1512,11784,1,52,2,6,NA,NA,135,2,NA,NA,363,2,NA,NA,14.06,2,NA,NA,10.379999999999997,2,NA,NA,2.0517999999999996,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1562,7385,1,43,29,5,NA,NA,124,29,NA,NA,220,29,NA,NA,14.43,29,NA,NA,11.2,29,NA,NA,1.1232,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1570,9136,1,25,6,1,NA,NA,27,6,NA,NA,275,6,NA,NA,10.2,6,NA,NA,6.409999999999998,6,NA,NA,11.5186,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,1479,1,48,29,3,NA,NA,401,29,NA,NA,165,29,NA,NA,8.100000000000001,29,NA,NA,6.959999999999999,29,NA,NA,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1772,6988,1,45,18,5,NA,NA,143,18,NA,NA,37,18,NA,NA,2.88,18,NA,NA,1.7200000000000002,18,NA,NA,0.36,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1825,7841,1,38,17,2,NA,NA,76,17,NA,NA,110,17,NA,NA,4.939999999999999,17,NA,NA,5.249999999999999,17,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1881,7973,1,24,3,6,NA,NA,35,3,NA,NA,249,3,NA,NA,9.36,3,NA,NA,7.169999999999999,3,NA,NA,8.3418,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1925,8863,1,51,2,4,NA,NA,38,2,NA,NA,45,2,NA,NA,3.2599999999999993,2,NA,NA,2.7599999999999993,2,NA,NA,0.18,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1939,5975,1,34,19,3,NA,NA,75,19,NA,NA,204,19,NA,NA,11.190000000000001,19,NA,NA,9.829999999999998,19,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1959,2207,1,34,27,3,NA,NA,96,27,NA,NA,228,27,NA,NA,13.790000000000001,27,NA,NA,6.549999999999999,27,NA,NA,0.9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,9897,1,75,17,5,NA,NA,300,17,NA,NA,77,17,NA,NA,4.2299999999999995,17,NA,NA,3.1199999999999983,17,NA,NA,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2050,1131,1,52,31,2,NA,NA,54,31,NA,NA,107,31,NA,NA,8.909999999999998,31,NA,NA,5.449999999999998,31,NA,NA,0.499,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2116,534,1,50,25,4,NA,NA,77,25,NA,NA,194,25,NA,NA,18.160000000000004,25,NA,NA,11.729999999999999,25,NA,NA,2.1582000000000003,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2204,9347,1,27,23,3,NA,NA,108,23,NA,NA,234,23,NA,NA,9.53,23,NA,NA,8.689999999999998,23,NA,NA,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2223,10809,1,28,30,2,NA,NA,80,30,NA,NA,243,30,NA,NA,13.169999999999998,30,NA,NA,5.919999999999999,30,NA,NA,9.0566,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,5270,1,56,10,5,NA,NA,75,10,NA,NA,154,10,NA,NA,9.249999999999998,10,NA,NA,8.889999999999997,10,NA,NA,0.09,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2296,11806,1,28,16,4,NA,NA,83,16,NA,NA,135,16,NA,NA,7.459999999999999,16,NA,NA,5.01,16,NA,NA,1.9474,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2339,5858,1,53,28,2,NA,NA,239,28,NA,NA,309,28,NA,NA,12.680000000000001,28,NA,NA,10.180000000000001,28,NA,NA,2.9898,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2386,9968,1,31,28,2,NA,NA,73,28,NA,NA,193,28,NA,NA,8.12,28,NA,NA,6.14,28,NA,NA,3.8145999999999995,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2413,4102,1,69,19,3,NA,NA,93,19,NA,NA,167,19,NA,NA,14.87,19,NA,NA,7.319999999999998,19,NA,NA,1.6834,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2504,11647,1,32,18,6,NA,NA,141,18,NA,NA,227,18,NA,NA,14.52,18,NA,NA,9.87,18,NA,NA,0.666,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2507,10501,1,32,4,6,NA,NA,39,4,NA,NA,224,4,NA,NA,8.97,4,NA,NA,6.879999999999997,4,NA,NA,2.6753,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2552,3861,1,62,5,5,NA,NA,149,5,NA,NA,158,5,NA,NA,8.57,5,NA,NA,7.149999999999999,5,NA,NA,1.197,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2603,1557,1,60,6,1,NA,NA,136,6,NA,NA,227,6,NA,NA,8.67,6,NA,NA,8.099999999999998,6,NA,NA,2.4534,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2635,1857,1,45,8,5,NA,NA,63,8,NA,NA,125,8,NA,NA,11.29,8,NA,NA,7.1899999999999995,8,NA,NA,1.2060000000000002,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2654,11127,1,58,27,7,NA,NA,77,27,NA,NA,141,27,NA,NA,6.74,27,NA,NA,6.469999999999999,27,NA,NA,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2729,268,1,55,17,5,NA,NA,75,17,NA,NA,106,17,NA,NA,5.829999999999999,17,NA,NA,4.0200000000000005,17,NA,NA,0.1863,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2752,9287,1,36,20,2,NA,NA,47,20,NA,NA,221,20,NA,NA,8.35,20,NA,NA,9.12,20,NA,NA,1.8954,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2772,2839,1,21,9,4,NA,NA,137,9,NA,NA,87,9,NA,NA,3.9499999999999993,9,NA,NA,3.529999999999998,9,NA,NA,1.4175,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2811,10735,1,41,23,6,NA,NA,247,23,NA,NA,230,23,NA,NA,9.75,23,NA,NA,8.479999999999997,23,NA,NA,2.9169,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2828,6138,1,35,6,6,NA,NA,29,6,NA,NA,161,6,NA,NA,4.6899999999999995,6,NA,NA,3.1799999999999997,6,NA,NA,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3117,6650,1,53,27,3,NA,NA,181,27,NA,NA,162,27,NA,NA,7.710000000000001,27,NA,NA,7.279999999999998,27,NA,NA,1.0908,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3122,10060,1,26,19,4,NA,NA,1758,19,NA,NA,249,19,NA,NA,14.309999999999999,19,NA,NA,9.819999999999999,19,NA,NA,2.9028,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3135,4304,1,28,16,4,NA,NA,295,16,NA,NA,231,16,NA,NA,13.019999999999998,16,NA,NA,10.58,16,NA,NA,2.25,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3169,11836,1,51,23,3,NA,NA,259,23,NA,NA,211,23,NA,NA,6.050000000000001,23,NA,NA,5.52,23,NA,NA,2.1231,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3214,5782,1,49,10,5,NA,NA,576,10,NA,NA,335,10,NA,NA,15.219999999999999,10,NA,NA,8.759999999999998,10,NA,NA,9.844,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3219,3821,1,63,25,7,NA,NA,133,25,NA,NA,222,25,NA,NA,15.200000000000001,25,NA,NA,8.899999999999999,25,NA,NA,1.0728,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
