SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_11,adm2_10,adm2_4,adm2_5,adm2_3,adm2_7,adm2_8,adm2_12,adm2_6,adm2_2,adm2_1
1410,6337,1,18,29,46,241,18.080000000000002,12.289999999999997,0.8892,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1412,5267,1,38,10,93,202,17.09,11.34,0.7560000000000001,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1415,6404,1,60,6,1120,342,25.04,13.559999999999999,1.06,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1502,8358,1,40,18,74,136,11.03,6.859999999999999,0.7857,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1559,10287,1,18,29,110,222,17.67,12.249999999999998,0.2232,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1569,6036,1,59,24,478,116,7.18,2.9699999999999998,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1591,3708,1,50,6,272,336,26.18,16.4,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
1593,1595,1,30,8,604,276,25.299999999999997,16.65,0.4581,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1689,606,1,30,18,13,116,6.449999999999999,8.209999999999999,0.4454999999999999,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1733,1112,1,38,13,1081,74,11.21,5.24,2.925,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1858,11096,1,32,6,714,272,15.84,10.78,0.477,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1921,10300,1,35,17,24,165,18.620000000000005,9.95,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1940,113,1,24,29,55,93,10.069999999999999,5.259999999999998,0.37800000000000006,0,3,0,0,0,0,0,1,0,0,0,0,0,0
1948,6099,1,38,13,54,328,18.8,12.109999999999998,0.7272,0,6,0,0,0,0,0,0,0,0,0,1,0,0
1964,2307,1,45,21,105,326,29.229999999999997,17.770000000000003,0.0424,0,6,0,0,0,0,0,0,0,0,0,1,0,0
1968,11017,1,27,21,37,96,9.739999999999998,4.269999999999999,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0
