SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
914,7478,2,50,27,99,262,10.91,8.809999999999999,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
937,11193,2,25,23,157,148,15.5,8.28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
974,7799,1,48,23,85,201,17.83,12.29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1001,2599,1,25,13,208,189,8.94,8.88,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1007,4926,2,85,10,68,100,5.109999999999999,4.2299999999999995,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1052,5257,2,40,11,113,145,6.999999999999999,6.16,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1054,2207,2,23,27,119,266,15.530000000000005,8.179999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1075,6952,1,55,10,144,189,11.86,8.079999999999998,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,4318,1,54,3,130,144,14.22,8.419999999999998,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1133,6053,2,38,30,22,121,7.310000000000001,6.039999999999997,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1153,11542,1,28,15,104,638,22.339999999999993,9.739999999999998,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1162,5332,2,22,22,193,159,8.219999999999999,5.12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1163,9061,2,44,19,11,96,5.789999999999998,5.399999999999999,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1201,10032,1,57,2,172,257,7.9399999999999995,6.009999999999999,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1221,3783,2,48,10,1030,178,8.009999999999998,5.5399999999999965,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1276,11512,1,48,2,123,75,6.36,5.39,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1290,4125,2,40,24,276,178,9.85,7.659999999999998,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1297,9259,2,38,20,21,157,9.12,8.509999999999998,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,9551,1,47,14,124,326,14.619999999999997,9.54,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1308,4745,1,33,29,81,204,10.81,6.709999999999999,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1320,11166,2,27,18,158,126,5.259999999999999,5.18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1324,3688,2,51,30,24,102,6.369999999999998,5.1499999999999995,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,5237,2,45,25,52,150,9.37,5.849999999999999,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1391,372,2,53,17,104,96,5.419999999999999,4.989999999999998,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1414,6612,1,31,8,81,108,64.81000000000002,7.640000000000001,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1417,7387,2,29,26,524,164,7.569999999999999,6.680000000000001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,1859,1,61,6,382,194,9.84,7.249999999999997,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1477,1433,2,35,5,33,74,3.6599999999999993,3.9999999999999996,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1512,11784,1,52,2,135,363,14.06,10.379999999999997,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1534,5373,2,49,29,116,124,5.579999999999999,4.749999999999999,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,2439,2,25,10,94,123,6.990000000000001,7.769999999999998,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1554,2839,2,43,9,167,191,8.17,7.909999999999999,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1562,7385,1,43,29,124,220,14.43,11.2,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1568,4652,2,24,19,49,95,4.18,3.599999999999999,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1570,9136,1,25,6,27,275,10.2,6.409999999999998,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1594,3942,2,47,3,59,120,6.3999999999999995,6.210000000000001,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1625,9306,2,45,17,70,143,6.3500000000000005,5.939999999999998,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1644,10973,2,30,10,135,678,8.25,5.869999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1649,1479,1,48,29,401,165,8.100000000000001,6.959999999999999,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1675,10074,2,72,29,19,106,3.55,3.7399999999999998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1678,611,2,60,13,121,175,10.75,9.349999999999998,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1694,2158,2,19,5,29,110,5.55,5.210000000000001,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
