SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_7,adm2_1,adm2_2,adm2_4,adm2_3,adm2_6,adm2_8,adm2_5
1705,4136,2,20,26,25,84,7.719999999999999,5.88,0,5,0,0,0,0,0,0,0,1
1706,1254,2,23,23,0,81,8.610000000000001,5.8,0,5,0,0,0,0,0,0,0,1
1710,5826,2,32,6,0,49,5.21,4.18,0,8,0,0,0,0,0,0,1,0
1716,1391,1,19,19,1980,199,13.620000000000001,8.1,0,8,0,0,0,0,0,0,1,0
1718,3405,1,28,25,270,67,7.89,5.1499999999999995,0,7,1,0,0,0,0,0,0,0
1742,11099,1,30,14,5,71,8.290000000000001,6.93,0,4,0,0,0,1,0,0,0,0
1771,5473,1,44,11,7,103,8.760000000000002,6.789999999999999,0,4,0,0,0,1,0,0,0,0
1783,10324,1,45,14,35,132,6.58,4.67,0,2,0,0,1,0,0,0,0,0
1784,3902,2,19,6,23,133,11.040000000000001,6.81,0,4,0,0,0,1,0,0,0,0
1789,7333,2,39,30,16,75,8.28,6.119999999999998,0,6,0,0,0,0,0,1,0,0
1792,92,2,32,10,597,162,5.1,3.4400000000000004,0,8,0,0,0,0,0,0,1,0
1801,943,2,26,17,21,57,3.35,4.16,0,2,0,0,1,0,0,0,0,0
1805,7059,2,37,16,367,77,10.14,5.539999999999999,0,5,0,0,0,0,0,0,0,1
1830,4515,1,60,1,0,53,9.85,5.55,1,6,0,0,0,0,0,1,0,0
1833,9492,2,31,11,30,99,7.4399999999999995,5.4799999999999995,0,8,0,0,0,0,0,0,1,0
1848,4825,1,77,12,57,232,15.870000000000001,9.77,0,6,0,0,0,0,0,1,0,0
1855,5261,1,37,8,1061,114,30.06,8.219999999999999,0,3,0,0,0,0,1,0,0,0
1857,426,1,33,17,11,161,5.739999999999998,3.51,0,2,0,0,1,0,0,0,0,0
1859,1495,1,19,1,18,98,11.5,6.42,1,6,0,0,0,0,0,1,0,0
1867,6215,2,44,22,84,143,11.85,6.919999999999999,0,7,1,0,0,0,0,0,0,0
1884,4502,1,46,21,0,57,7.46,5.109999999999999,0,8,0,0,0,0,0,0,1,0
1900,10978,2,18,21,18,150,12.520000000000001,7.16,0,3,0,0,0,0,1,0,0,0
1906,9296,1,28,26,26,159,18.159999999999997,11.889999999999999,0,7,1,0,0,0,0,0,0,0
1911,836,2,40,28,45,49,3.7600000000000002,1.9400000000000002,0,3,0,0,0,0,1,0,0,0
1922,4836,2,36,5,7,74,5.56,4.19,0,8,0,0,0,0,0,0,1,0
1931,2627,1,34,20,1,132,10.75,8.42,0,8,0,0,0,0,0,0,1,0
1936,10097,2,53,10,782,45,4.6,3.87,0,8,0,0,0,0,0,0,1,0
1970,4067,1,22,26,9,93,10.740000000000002,6.13,0,5,0,0,0,0,0,0,0,1
1976,5499,2,49,15,22,49,7.439999999999999,4.4399999999999995,0,4,0,0,0,1,0,0,0,0
1994,5261,2,32,8,1473,156,39.31,10.459999999999999,0,3,0,0,0,0,1,0,0,0
2005,11155,1,42,28,200,187,10.379999999999999,5.609999999999999,0,3,0,0,0,0,1,0,0,0
2029,9254,1,82,24,325,132,14.680000000000003,6.84,0,3,0,0,0,0,1,0,0,0
2039,10968,2,23,25,27,75,7.139999999999999,4.529999999999999,0,1,0,1,0,0,0,0,0,0
2135,11869,2,56,14,15,159,12.81,6.42,0,8,0,0,0,0,0,0,1,0
2147,9770,1,35,19,1566,77,7.3,4.63,0,8,0,0,0,0,0,0,1,0
2151,6402,2,26,23,329,99,16.12,4.299999999999999,0,3,0,0,0,0,1,0,0,0
2152,6528,2,19,21,15,66,5.529999999999999,3.79,0,8,0,0,0,0,0,0,1,0
2189,6627,1,61,1,621,110,18.4,5.16,1,1,0,1,0,0,0,0,0,0
2192,9832,2,32,2,455,303,16.44,7.589999999999999,0,1,0,1,0,0,0,0,0,0
2212,11383,2,19,6,50,178,9.230000000000002,5,0,6,0,0,0,0,0,1,0,0
2230,3920,2,24,26,525,249,10,4.41,0,7,1,0,0,0,0,0,0,0
2241,477,1,65,2,26,55,4.46,3.88,0,6,0,0,0,0,0,1,0,0
2246,3072,1,21,8,23,152,10.05,6.55,0,1,0,1,0,0,0,0,0,0
2250,3805,2,51,12,17,119,10.479999999999999,7.119999999999999,0,6,0,0,0,0,0,1,0,0
2251,5272,2,53,23,128,92,6.24,5,0,7,1,0,0,0,0,0,0,0
2257,9875,1,72,10,125,101,5.999999999999999,3.779999999999999,0,2,0,0,1,0,0,0,0,0
