SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_4,adm2_3,adm2_8,adm2_11,adm2_7,adm2_6,adm2_2,adm2_1,adm2_10,adm2_9,adm2_5
1659,4344,1,38,20,417,211,14.810000000000002,7.420000000000001,0,5,0,0,0,0,0,0,0,0,0,0,1
1673,6328,1,22,12,21,139,7.31,4.080000000000001,0,8,0,0,1,0,0,0,0,0,0,0,0
1683,5697,2,42,28,7,85,5.119999999999999,4.14,0,11,0,0,0,1,0,0,0,0,0,0,0
1720,6246,1,53,11,108,3405,12.790000000000001,5.8100000000000005,0,1,0,0,0,0,0,0,0,1,0,0,0
1729,2004,1,60,6,233,1485,9.480000000000002,7.039999999999999,0,3,0,1,0,0,0,0,0,0,0,0,0
1787,5500,1,30,18,49,98,4.15,4.2299999999999995,0,2,0,0,0,0,0,0,1,0,0,0,0
1800,183,2,65,27,173,3563,7.929999999999999,6.749999999999998,0,4,1,0,0,0,0,0,0,0,0,0,0
1835,4953,1,52,10,11,1261,4.509999999999999,4.68,0,1,0,0,0,0,0,0,0,1,0,0,0
1873,8473,1,65,20,29,768,4.23,2.35,0,1,0,0,0,0,0,0,0,1,0,0,0
1893,2166,2,22,18,47,86,3.1399999999999997,3.3500000000000005,0,8,0,0,1,0,0,0,0,0,0,0,0
1910,8208,2,45,16,98,178,13.299999999999997,9.11,0,5,0,0,0,0,0,0,0,0,0,0,1
1929,7889,2,46,20,33,42,3.9899999999999998,2.63,0,9,0,0,0,0,0,0,0,0,0,1,0
1935,4090,2,74,5,420,151,12.88,7.73,0,6,0,0,0,0,0,1,0,0,0,0,0
1944,1547,1,83,20,131,1216,4.289999999999999,3.339999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0
1951,5697,1,18,28,7,85,5.119999999999999,4.14,0,11,0,0,0,1,0,0,0,0,0,0,0
1954,8723,2,67,12,25,19,6.05,1.33,0,8,0,0,1,0,0,0,0,0,0,0,0
1962,4323,2,45,17,10,70,4.8100000000000005,3.02,0,11,0,0,0,1,0,0,0,0,0,0,0
1963,4735,2,44,19,21,217,3.2,2.9199999999999995,0,11,0,0,0,1,0,0,0,0,0,0,0
1985,7965,2,30,16,14,1907,5.069999999999999,6.25,0,3,0,1,0,0,0,0,0,0,0,0,0
1995,8590,2,28,9,1402,167,13.77,6.719999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,2210,2,53,24,141,75,6.049999999999998,4.65,0,8,0,0,1,0,0,0,0,0,0,0,0
2001,9245,2,73,22,41,140,15.829999999999998,3.7499999999999996,0,6,0,0,0,0,0,1,0,0,0,0,0
2003,8962,2,37,25,194,239,14.26,5.269999999999998,0,10,0,0,0,0,0,0,0,0,1,0,0
2040,2062,2,67,22,49,83,28.61,5.23,0,7,0,0,0,0,1,0,0,0,0,0,0
2048,9980,2,45,8,134,232,18.64,9.17,0,3,0,1,0,0,0,0,0,0,0,0,0
2055,9393,1,40,18,115,94,11.2,8.120000000000001,0,8,0,0,1,0,0,0,0,0,0,0,0
2060,3350,1,75,14,281,2046,16.52,7.81,0,10,0,0,0,0,0,0,0,0,1,0,0
