SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_5,adm2_1,adm2_6,adm2_12,adm2_4,adm2_9,adm2_10,adm2_11,adm2_2,adm2_3,adm2_7,adm2_8
22862,5574,2,37,9,88,298,16.39,10.78,1.0528,0,8,0,0,0,0,0,0,0,0,0,0,0,1
22865,4531,2,65,17,67,159,16.52,10.059999999999999,2.3361,0,4,0,0,0,0,1,0,0,0,0,0,0,0
22890,4299,2,20,18,184,102,5.129999999999999,3.9699999999999993,0.468,0,8,0,0,0,0,0,0,0,0,0,0,0,1
22941,5565,2,70,21,59,133,12.720000000000002,8.75,0.198,0,3,0,0,0,0,0,0,0,0,0,1,0,0
22969,9699,2,42,17,21,67,4.52,4.25,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
22978,9064,2,58,21,67,130,7.669999999999998,5.449999999999999,0.585,0,12,0,0,0,1,0,0,0,0,0,0,0,0
23071,503,2,43,25,134,212,17.36,10.53,0.7272,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23081,5441,2,49,19,42,158,13.939999999999994,10.379999999999997,2.523,0,4,0,0,0,0,1,0,0,0,0,0,0,0
23088,3472,2,55,23,27,109,8.6,5.909999999999999,0.2268,0,4,0,0,0,0,1,0,0,0,0,0,0,0
23095,7194,2,20,16,68,149,12.109999999999998,8.639999999999999,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
23103,4902,2,34,20,228,334,22.299999999999997,11.109999999999998,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
23104,9461,2,32,12,37,144,16.959999999999997,10.079999999999998,0.2916,0,8,0,0,0,0,0,0,0,0,0,0,0,1
23128,471,2,48,21,102,362,16.12,9.469999999999999,0.774,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23146,4029,2,65,30,25,104,7.879999999999999,4.739999999999999,0.1287,0,3,0,0,0,0,0,0,0,0,0,1,0,0
23147,9524,2,30,14,44,166,14.529999999999998,9.2,0.6048,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23201,1962,2,70,21,25,29,1.9300000000000002,1.59,0.07200000000000001,0,3,0,0,0,0,0,0,0,0,0,1,0,0
23221,946,2,45,27,87,158,27.75,12.399999999999997,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
23241,358,2,38,15,39,112,9.33,5.92,0.3879,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23243,1276,2,21,25,48,96,6.89,4.66,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
23271,2281,2,20,24,92,193,14.409999999999998,11.32,0.3222,0,10,0,0,0,0,0,0,1,0,0,0,0,0
23272,36,2,30,6,60,291,26.750000000000004,15.989999999999998,1.8360000000000003,0,3,0,0,0,0,0,0,0,0,0,1,0,0
23282,11606,2,29,25,49,229,8.950000000000001,6.699999999999997,0.6534,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23320,1164,2,47,10,9,101,5.13,5.91,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
23333,2117,2,60,14,7,50,2.92,3.04,0.2304,0,8,0,0,0,0,0,0,0,0,0,0,0,1
23376,1965,2,24,25,215,148,17.73,11.049999999999999,4.794,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23383,4294,2,55,15,68,157,11.920000000000002,8.63,0.46199999999999997,0,12,0,0,0,1,0,0,0,0,0,0,0,0
23407,4068,2,45,19,121,299,30.26,19.49,0.6246,0,5,1,0,0,0,0,0,0,0,0,0,0,0
23408,9649,2,36,11,99,94,7.01,4.79,1.5174,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23448,1771,2,45,25,73,116,6.629999999999999,3.4199999999999995,0.865,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23565,5524,2,48,16,74,84,8.049999999999999,3.82,1.143,0,8,0,0,0,0,0,0,0,0,0,0,0,1
23588,3979,2,46,11,93,98,9.38,7.01,2.9444,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23596,4128,2,40,24,65,260,19.790000000000003,11.339999999999998,0.909,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23629,1915,2,50,5,131,274,13.869999999999997,8.409999999999998,0.7704,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23648,2258,2,27,17,425,118,16.53,7.54,0.342,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23691,5591,2,40,24,81,111,15.28,7.009999999999999,0.0216,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23705,10066,2,40,14,693,209,11.549999999999999,7.399999999999999,0.9751999999999998,0,9,0,0,0,0,0,1,0,0,0,0,0,0
23719,9048,2,65,18,53,115,7.279999999999999,8.229999999999999,0.3546,0,5,1,0,0,0,0,0,0,0,0,0,0,0
23728,2955,2,42,25,76,520,30.32,12.299999999999997,12.937699999999998,0,4,0,0,0,0,1,0,0,0,0,0,0,0
23770,5887,2,24,18,316,487,20.570000000000004,14.089999999999998,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
23774,11610,2,32,29,97,101,13.97,7.719999999999999,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
23784,11136,2,19,11,60,145,11.139999999999999,7.96,1.2124,0,8,0,0,0,0,0,0,0,0,0,0,0,1
23791,6256,2,55,25,51,99,7.669999999999998,5.98,0.28800000000000003,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23792,3335,2,18,5,309,254,17.59,8.899999999999999,2.7558,0,1,0,1,0,0,0,0,0,0,0,0,0,0
