SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
9338,6123,1,46,3,1993,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9348,1317,1,19,11,1201,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9400,10060,1,30,19,3121,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9414,324,1,74,16,1304,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9459,3037,1,90,17,1533,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9485,3948,1,49,30,1847,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9493,5213,1,27,3,1935,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9532,10916,1,33,27,1803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9633,11851,1,41,15,2103,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9634,502,1,52,7,2968,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9659,38,1,48,16,1827,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9712,8787,1,23,28,1958,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9747,4173,1,63,26,1810,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9791,6434,1,29,27,3189,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9802,2592,1,49,25,1838,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9869,10233,1,30,19,1547,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9881,2249,1,61,26,1798,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9921,6157,1,19,30,2509,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9922,5375,1,18,30,2348,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9942,165,1,45,3,1828,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9969,7749,1,44,29,1589,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10029,8754,1,31,11,2518,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,11545,1,65,30,1568,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060,4626,1,75,12,1614,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10070,6655,1,45,28,1858,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10086,5227,1,28,30,2085,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
