SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
4336,7724,1,18,1,8,118,10.649999999999999,6.760000000000001,0.34380000000000005,1,1,0,0,1,0,0,0,0,0,0
4358,2329,1,65,15,291,303,19.59,12.78,2.7918000000000003,0,8,0,0,0,1,0,0,0,0,0
4394,6066,1,35,1,65,202,22.729999999999997,15.569999999999999,0.6543000000000001,1,7,0,0,0,0,0,1,0,0,0
4406,5042,1,60,10,7,265,31.65,21.310000000000002,0,0,2,0,0,0,0,0,0,1,0,0
4408,9104,1,62,7,35,100,9.75,6.4899999999999975,1.9251000000000003,1,8,0,0,0,1,0,0,0,0,0
4411,3496,1,40,9,12,247,24.439999999999994,18.55,0,0,5,0,0,0,0,1,0,0,0,0
4471,7195,1,38,8,4,84,6.2700000000000005,3.71,0.5094000000000001,0,4,0,0,0,0,0,0,0,1,0
4475,5784,1,70,7,26,120,16.1,10.479999999999999,0.0297,1,7,0,0,0,0,0,1,0,0,0
4510,4942,1,32,18,4,153,15.27,11.6,0.29969999999999997,0,5,0,0,0,0,1,0,0,0,0
4513,9265,1,29,22,22,163,7.37,4.449999999999999,0,0,6,0,0,0,0,0,0,0,0,1
4574,1034,1,30,23,18,113,5.4399999999999995,5.76,1.0773,0,6,0,0,0,0,0,0,0,0,1
4590,3101,1,42,27,234,291,32.64,19.99,7.2501999999999995,0,7,0,0,0,0,0,1,0,0,0
4602,7538,1,42,28,2922,487,38.5,17.86,1.26,0,4,0,0,0,0,0,0,0,1,0
4603,3692,1,23,12,16,44,8.12,3.9099999999999997,0.1179,0,4,0,0,0,0,0,0,0,1,0
4636,7108,1,38,9,20,192,17.019999999999996,11.679999999999998,0.2007,0,2,0,0,0,0,0,0,1,0,0
4683,2517,1,55,26,13,180,17.62,12.290000000000001,0,0,1,0,0,1,0,0,0,0,0,0
4691,10624,1,48,14,10,155,14.389999999999999,9.97,0.18720000000000003,0,9,1,0,0,0,0,0,0,0,0
4714,2080,1,58,8,189,250,12.629999999999999,8.479999999999999,3.915,0,8,0,0,0,1,0,0,0,0,0
4765,11734,1,35,8,93,146,11.37,7.999999999999999,0,0,5,0,0,0,0,1,0,0,0,0
4790,1324,1,32,26,5,117,13.2,9.17,0.6444,0,4,0,0,0,0,0,0,0,1,0
4791,8261,1,18,22,126,215,17.029999999999998,11.040000000000001,4.5,0,6,0,0,0,0,0,0,0,0,1
4836,1585,1,70,23,0,15,1.2100000000000002,1.91,0,0,7,0,0,0,0,0,1,0,0,0
4888,10717,1,28,3,12,192,18.06,14.27,0,0,1,0,0,1,0,0,0,0,0,0
4904,5295,1,30,10,55,278,23.29,16.79,0.5625,0,8,0,0,0,1,0,0,0,0,0
4927,11092,1,31,27,43,198,20.370000000000005,15.099999999999994,4.362,0,2,0,0,0,0,0,0,1,0,0
4966,2468,1,26,15,107,211,18.29,14.099999999999998,0,0,9,1,0,0,0,0,0,0,0,0
4998,8119,1,22,27,67,222,74.01,19.620000000000005,0,0,7,0,0,0,0,0,1,0,0,0
5005,7243,1,20,26,19,312,33.08,22.06,1.4688,0,4,0,0,0,0,0,0,0,1,0
5028,1004,1,80,29,78,103,9.879999999999999,6.3500000000000005,0.5760000000000001,0,7,0,0,0,0,0,1,0,0,0
5066,10326,1,70,18,183,199,13.820000000000002,9.979999999999999,5.0562,0,8,0,0,0,1,0,0,0,0,0
5101,6771,1,25,4,63,164,17.560000000000002,12.74,1,0,8,0,0,0,1,0,0,0,0,0
5137,11323,1,60,4,95,166,11.299999999999999,9.389999999999997,0.36,0,4,0,0,0,0,0,0,0,1,0
5208,8591,1,21,18,206,153,15.72,9.57,0,0,5,0,0,0,0,1,0,0,0,0
5239,2514,1,26,17,154,236,13.63,11.780000000000001,0,0,6,0,0,0,0,0,0,0,0,1
5260,6230,1,70,27,58,302,30.14,20.519999999999996,0.441,0,7,0,0,0,0,0,1,0,0,0
5263,1754,1,35,7,10,140,13.32,9.29,0,1,9,1,0,0,0,0,0,0,0,0
5297,8428,1,22,3,44,133,11.51,7.43,0.6426000000000001,0,7,0,0,0,0,0,1,0,0,0
5337,10712,1,55,4,22,184,13.639999999999999,9.53,0.5625,0,3,0,1,0,0,0,0,0,0,0
5365,4321,1,35,24,12,204,12.229999999999999,8.82,0,0,2,0,0,0,0,0,0,1,0,0
5371,8971,1,40,9,5,85,8.79,6.650000000000001,0,0,9,1,0,0,0,0,0,0,0,0
5388,1393,1,45,17,8,189,21.519999999999996,14.91,0,0,6,0,0,0,0,0,0,0,0,1
5540,11700,1,58,10,181,333,26.79,18.200000000000003,0,0,8,0,0,0,1,0,0,0,0,0
5577,8713,1,31,27,6,226,27.250000000000004,18.630000000000006,0.14490000000000003,0,7,0,0,0,0,0,1,0,0,0
5582,9687,1,52,19,2,134,15.53,11.119999999999997,0.09,0,1,0,0,1,0,0,0,0,0,0
5595,2773,1,18,27,3,122,13.739999999999998,10.71,0,0,3,0,1,0,0,0,0,0,0,0
5616,1733,1,21,14,61,189,15.82,11.6,6.8076,0,6,0,0,0,0,0,0,0,0,1
