SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
4315,97,1,78,2,NA,NA,922,0,2,0,0,0,0,0,1,0,0,0,0,0
4433,1762,1,25,17,NA,NA,802,0,11,0,0,1,0,0,0,0,0,0,0,0
4518,4165,1,45,18,NA,NA,2077,0,4,0,0,0,0,0,0,1,0,0,0,0
4561,11312,1,58,22,NA,NA,2747,0,6,0,0,0,1,0,0,0,0,0,0,0
4575,9662,1,36,19,NA,NA,1965,0,2,0,0,0,0,0,1,0,0,0,0,0
4680,6468,1,48,20,NA,NA,951,0,2,0,0,0,0,0,1,0,0,0,0,0
4688,414,1,23,25,NA,NA,1762,0,7,0,0,0,0,0,0,0,0,0,1,0
4740,2841,1,26,12,NA,NA,608,0,8,0,1,0,0,0,0,0,0,0,0,0
4751,11867,1,48,9,NA,NA,996,0,1,0,0,0,0,0,0,0,1,0,0,0
4770,239,1,34,5,NA,NA,1976,0,6,0,0,0,1,0,0,0,0,0,0,0
4835,5089,1,53,26,NA,NA,1447,0,1,0,0,0,0,0,0,0,1,0,0,0
4843,10426,1,32,8,NA,NA,2209,0,10,0,0,0,0,0,0,0,0,1,0,0
5020,9088,1,30,8,NA,NA,2057,0,6,0,0,0,1,0,0,0,0,0,0,0
5046,9863,1,40,20,NA,NA,3125,0,7,0,0,0,0,0,0,0,0,0,1,0
5052,9864,1,47,27,NA,NA,2672,0,6,0,0,0,1,0,0,0,0,0,0,0
5096,6589,1,27,16,NA,NA,1281,0,3,1,0,0,0,0,0,0,0,0,0,0
5106,3084,1,27,7,NA,NA,1990,1,3,1,0,0,0,0,0,0,0,0,0,0
5195,7060,1,60,14,NA,NA,3052,0,5,0,0,0,0,0,0,0,0,0,0,1
5217,5655,1,23,18,NA,NA,710,0,3,1,0,0,0,0,0,0,0,0,0,0
5218,9753,1,28,22,NA,NA,1734,0,6,0,0,0,1,0,0,0,0,0,0,0
5307,7116,1,65,22,NA,NA,1520,0,7,0,0,0,0,0,0,0,0,0,1,0
5339,6616,1,35,17,NA,NA,2305,0,3,1,0,0,0,0,0,0,0,0,0,0
5382,7348,1,45,20,NA,NA,2555,0,5,0,0,0,0,0,0,0,0,0,0,1
5405,8154,1,74,23,NA,NA,2210,0,4,0,0,0,0,0,0,1,0,0,0,0
5503,1306,1,44,16,NA,NA,1777,0,5,0,0,0,0,0,0,0,0,0,0,1
5517,11683,1,50,17,NA,NA,1781,0,11,0,0,1,0,0,0,0,0,0,0,0
5532,2406,1,18,8,NA,NA,775,0,10,0,0,0,0,0,0,0,0,1,0,0
5549,4342,1,52,16,NA,NA,1289,0,3,1,0,0,0,0,0,0,0,0,0,0
5574,5343,1,46,16,NA,NA,1819,0,6,0,0,0,1,0,0,0,0,0,0,0
5593,9563,1,88,8,NA,NA,928,0,10,0,0,0,0,0,0,0,0,1,0,0
5594,4393,1,48,5,NA,NA,2900,0,6,0,0,0,1,0,0,0,0,0,0,0
5628,7530,1,51,18,NA,NA,1692,0,8,0,1,0,0,0,0,0,0,0,0,0
5682,7320,1,19,24,NA,NA,1699,0,7,0,0,0,0,0,0,0,0,0,1,0
5763,8312,1,39,30,NA,NA,1490,0,2,0,0,0,0,0,1,0,0,0,0,0
5768,9538,1,54,10,NA,NA,1668,0,10,0,0,0,0,0,0,0,0,1,0,0
5839,10677,1,54,20,NA,NA,1348,0,9,0,0,0,0,1,0,0,0,0,0,0
5847,10418,1,40,25,NA,NA,2357,0,4,0,0,0,0,0,0,1,0,0,0,0
5940,6599,1,53,13,NA,NA,1591,0,1,0,0,0,0,0,0,0,1,0,0,0
5943,11007,1,60,29,NA,NA,867,0,8,0,1,0,0,0,0,0,0,0,0,0
5972,2683,1,75,24,NA,NA,1635,0,7,0,0,0,0,0,0,0,0,0,1,0
6092,10030,1,31,19,NA,NA,855,0,11,0,0,1,0,0,0,0,0,0,0,0
6099,4024,1,46,12,NA,NA,1696,0,10,0,0,0,0,0,0,0,0,1,0,0
6111,9599,1,30,19,NA,NA,1358,0,9,0,0,0,0,1,0,0,0,0,0,0
6137,11505,1,32,12,NA,NA,1627,0,10,0,0,0,0,0,0,0,0,1,0,0
6161,7431,1,24,15,NA,NA,1574,0,5,0,0,0,0,0,0,0,0,0,0,1
6245,4962,1,19,25,NA,NA,2245,0,9,0,0,0,0,1,0,0,0,0,0,0
6415,10559,1,49,25,NA,NA,1759,0,7,0,0,0,0,0,0,0,0,0,1,0
6431,1979,1,40,25,NA,NA,1377,0,7,0,0,0,0,0,0,0,0,0,1,0
6449,11158,1,55,19,NA,NA,1542,0,11,0,0,1,0,0,0,0,0,0,0,0
6472,8236,1,70,17,NA,NA,1338,0,5,0,0,0,0,0,0,0,0,0,0,1
6494,7306,1,62,23,NA,NA,1570,0,8,0,1,0,0,0,0,0,0,0,0,0
6521,4972,1,52,26,NA,NA,1265,0,6,0,0,0,1,0,0,0,0,0,0,0
6549,2072,1,28,20,NA,NA,1635,0,9,0,0,0,0,1,0,0,0,0,0,0
6644,2023,1,20,29,NA,NA,2664,0,2,0,0,0,0,0,1,0,0,0,0,0
6660,10153,1,65,15,NA,NA,1096,0,3,1,0,0,0,0,0,0,0,0,0,0
6667,926,1,52,12,NA,NA,1163,0,10,0,0,0,0,0,0,0,0,1,0,0
6722,9186,1,26,16,NA,NA,1892,0,5,0,0,0,0,0,0,0,0,0,0,1
6739,7431,1,28,15,NA,NA,1608,0,5,0,0,0,0,0,0,0,0,0,0,1
6764,7586,1,31,19,NA,NA,1522,0,9,0,0,0,0,1,0,0,0,0,0,0
6774,3868,1,54,20,NA,NA,2066,0,9,0,0,0,0,1,0,0,0,0,0,0
6777,5178,1,28,18,NA,NA,900,0,6,0,0,0,1,0,0,0,0,0,0,0
6780,540,1,55,24,NA,NA,2431,0,7,0,0,0,0,0,0,0,0,0,1,0
6789,7962,1,57,3,NA,NA,1912,0,3,1,0,0,0,0,0,0,0,0,0,0
6846,11600,1,70,22,NA,NA,1399,0,8,0,1,0,0,0,0,0,0,0,0,0
6869,9318,1,48,27,NA,NA,2536,0,7,0,0,0,0,0,0,0,0,0,1,0
6910,9295,1,49,28,NA,NA,1668,0,2,0,0,0,0,0,1,0,0,0,0,0
6929,280,1,43,15,NA,NA,3544,0,3,1,0,0,0,0,0,0,0,0,0,0
6975,3729,1,44,27,NA,NA,1569,0,6,0,0,0,1,0,0,0,0,0,0,0
7002,8136,1,59,18,NA,NA,2321,0,2,0,0,0,0,0,1,0,0,0,0,0
7016,3336,1,75,15,NA,NA,1510,0,1,0,0,0,0,0,0,0,1,0,0,0
7113,1001,1,21,22,NA,NA,1029,0,6,0,0,0,1,0,0,0,0,0,0,0
7119,2190,1,47,23,NA,NA,1857,0,7,0,0,0,0,0,0,0,0,0,1,0
7443,3703,1,63,20,NA,NA,1601,0,2,0,0,0,0,0,1,0,0,0,0,0
7477,8801,1,70,6,NA,NA,1855,0,3,1,0,0,0,0,0,0,0,0,0,0
7550,10646,1,50,8,NA,NA,1555,0,6,0,0,0,1,0,0,0,0,0,0,0
7582,1303,1,20,17,NA,NA,1938,0,3,1,0,0,0,0,0,0,0,0,0,0
7717,7901,1,60,11,NA,NA,1525,0,1,0,0,0,0,0,0,0,1,0,0,0
7777,1023,1,63,24,NA,NA,951,0,7,0,0,0,0,0,0,0,0,0,1,0
