SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
25171,4853,1,29,17,1750,0,11,0,0,1,0,0,0,0,0,0,0,0
25353,1224,1,30,17,1613,0,5,0,0,0,0,0,0,0,0,0,0,1
25409,5414,1,28,27,2191,0,10,0,0,0,0,0,0,0,0,1,0,0
25514,4950,1,24,20,1045,0,9,0,0,0,0,1,0,0,0,0,0,0
25584,3808,1,28,20,1531,0,9,0,0,0,0,1,0,0,0,0,0,0
25617,4694,1,35,15,1872,0,1,0,0,0,0,0,0,0,1,0,0,0
25640,10956,1,18,18,926,0,3,1,0,0,0,0,0,0,0,0,0,0
25642,3273,1,39,28,1286,0,11,0,0,1,0,0,0,0,0,0,0,0
25703,7965,1,56,16,2446,0,3,1,0,0,0,0,0,0,0,0,0,0
25743,9422,1,38,16,951,0,11,0,0,1,0,0,0,0,0,0,0,0
25762,9059,1,32,15,1500,0,5,0,0,0,0,0,0,0,0,0,0,1
25787,9597,1,46,18,1512,0,6,0,0,0,1,0,0,0,0,0,0,0
25795,5829,1,33,3,1349,0,3,1,0,0,0,0,0,0,0,0,0,0
25814,6223,1,59,19,2195,0,11,0,0,1,0,0,0,0,0,0,0,0
25893,8099,1,39,28,1721,0,10,0,0,0,0,0,0,0,0,1,0,0
25919,819,1,74,15,776,0,11,0,0,1,0,0,0,0,0,0,0,0
25945,11612,1,56,17,1871,0,3,1,0,0,0,0,0,0,0,0,0,0
25955,1917,1,65,19,1746,0,9,0,0,0,0,1,0,0,0,0,0,0
26061,5825,1,21,18,1750,0,7,0,0,0,0,0,0,0,0,0,1,0
26092,6639,1,37,18,2045,0,11,0,0,1,0,0,0,0,0,0,0,0
26111,10956,1,22,18,1276,0,3,1,0,0,0,0,0,0,0,0,0,0
26127,404,1,24,19,1099,0,2,0,0,0,0,0,1,0,0,0,0,0
26150,7191,1,50,26,647,0,7,0,0,0,0,0,0,0,0,0,1,0
26247,11271,1,75,27,2764,0,4,0,0,0,0,0,0,1,0,0,0,0
26250,4413,1,40,18,1662,0,3,1,0,0,0,0,0,0,0,0,0,0
26404,161,1,35,27,2108,0,4,0,0,0,0,0,0,1,0,0,0,0
26450,7885,1,31,18,908,0,7,0,0,0,0,0,0,0,0,0,1,0
26571,8021,1,68,20,1631,0,1,0,0,0,0,0,0,0,1,0,0,0
26698,8520,1,42,16,2582,0,8,0,1,0,0,0,0,0,0,0,0,0
26704,5553,1,76,25,1922,0,4,0,0,0,0,0,0,1,0,0,0,0
26764,9728,1,46,6,1000,0,3,1,0,0,0,0,0,0,0,0,0,0
26829,7732,1,50,8,1897,0,10,0,0,0,0,0,0,0,0,1,0,0
26894,9372,1,73,9,457,0,1,0,0,0,0,0,0,0,1,0,0,0
26897,11781,1,24,18,989,0,9,0,0,0,0,1,0,0,0,0,0,0
26904,8008,1,53,2,1570,0,2,0,0,0,0,0,1,0,0,0,0,0
26913,2252,1,48,23,657,0,11,0,0,1,0,0,0,0,0,0,0,0
26918,2441,1,30,16,2602,0,5,0,0,0,0,0,0,0,0,0,0,1
26958,583,1,47,6,3246,0,3,1,0,0,0,0,0,0,0,0,0,0
26969,7586,1,56,19,1522,0,9,0,0,0,0,1,0,0,0,0,0,0
27005,11366,1,22,17,3228,0,3,1,0,0,0,0,0,0,0,0,0,0
27048,8118,1,39,22,1296,0,9,0,0,0,0,1,0,0,0,0,0,0
27051,6850,1,58,4,2144,0,6,0,0,0,1,0,0,0,0,0,0,0
27091,6855,1,45,10,920,0,6,0,0,0,1,0,0,0,0,0,0,0
27127,10689,1,19,17,1587,0,5,0,0,0,0,0,0,0,0,0,0,1
27181,8911,1,40,15,1144,0,8,0,1,0,0,0,0,0,0,0,0,0
27189,1578,1,52,16,1329,0,5,0,0,0,0,0,0,0,0,0,0,1
27254,970,1,26,20,1204,0,2,0,0,0,0,0,1,0,0,0,0,0
27295,5733,1,33,20,591,0,11,0,0,1,0,0,0,0,0,0,0,0
27314,4608,1,36,10,1851,0,1,0,0,0,0,0,0,0,1,0,0,0
27486,7140,1,63,10,1694,0,10,0,0,0,0,0,0,0,0,1,0,0
27526,2354,1,62,5,1990,0,3,1,0,0,0,0,0,0,0,0,0,0
27588,8296,1,48,17,1540,0,11,0,0,1,0,0,0,0,0,0,0,0
