SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
18111,1720,1,35,20,2259,0,5,0,1,0,0,0,0,0,0
18224,3940,1,63,22,1912,0,2,0,0,1,0,0,0,0,0
18239,11320,1,47,21,2104,0,1,1,0,0,0,0,0,0,0
18246,1237,1,30,12,2351,0,6,0,0,0,0,0,0,1,0
18296,2334,1,18,22,1582,0,4,0,0,0,0,1,0,0,0
18314,7286,1,21,19,1758,0,4,0,0,0,0,1,0,0,0
18322,11543,1,47,20,1747,0,1,1,0,0,0,0,0,0,0
18344,6877,1,35,21,2097,0,2,0,0,1,0,0,0,0,0
18459,6421,1,29,21,1737,0,2,0,0,1,0,0,0,0,0
18473,11686,1,22,23,1580,0,8,0,0,0,1,0,0,0,0
18507,3008,1,30,22,1828,0,2,0,0,1,0,0,0,0,0
18553,9282,1,36,21,1910,0,3,0,0,0,0,0,0,0,1
18598,108,1,25,8,2696,0,7,0,0,0,0,0,1,0,0
18618,4932,1,38,27,1687,0,2,0,0,1,0,0,0,0,0
18639,11270,1,25,13,1347,0,3,0,0,0,0,0,0,0,1
18643,10947,1,32,29,1666,0,5,0,1,0,0,0,0,0,0
18648,11522,1,28,4,1815,0,5,0,1,0,0,0,0,0,0
18670,6669,1,35,20,1820,0,2,0,0,1,0,0,0,0,0
18671,5527,1,28,3,1758,0,2,0,0,1,0,0,0,0,0
18695,5828,1,30,16,1512,0,5,0,1,0,0,0,0,0,0
18730,672,1,55,20,2205,0,2,0,0,1,0,0,0,0,0
18753,28,1,22,16,1915,0,1,1,0,0,0,0,0,0,0
18767,8246,1,36,23,1984,0,4,0,0,0,0,1,0,0,0
18787,1836,1,32,20,2164,0,1,1,0,0,0,0,0,0,0
18868,4689,1,60,22,1996,0,7,0,0,0,0,0,1,0,0
18903,3815,1,63,10,1505,0,7,0,0,0,0,0,1,0,0
18904,7914,1,18,11,1433,0,3,0,0,0,0,0,0,0,1
18976,9890,1,45,19,1540,0,4,0,0,0,0,1,0,0,0
18992,6098,1,35,21,2718,0,2,0,0,1,0,0,0,0,0
19041,2902,1,38,25,2159,0,2,0,0,1,0,0,0,0,0
19161,10904,1,60,20,1605,0,1,1,0,0,0,0,0,0,0
19239,4026,1,32,13,1813,0,1,1,0,0,0,0,0,0,0
19338,9702,1,25,21,1954,0,1,1,0,0,0,0,0,0,0
19361,10616,1,22,10,1836,0,7,0,0,0,0,0,1,0,0
19372,5497,1,55,19,1754,0,4,0,0,0,0,1,0,0,0
19389,2251,1,47,17,1564,0,1,1,0,0,0,0,0,0,0
19433,2284,1,20,12,2520,0,6,0,0,0,0,0,0,1,0
19567,10936,1,35,9,1266,0,2,0,0,1,0,0,0,0,0
19721,8458,1,20,29,1381,0,2,0,0,1,0,0,0,0,0
19740,5731,1,45,22,1844,0,5,0,1,0,0,0,0,0,0
19753,505,1,32,22,1524,0,8,0,0,0,1,0,0,0,0
19772,11660,1,20,17,1175,0,3,0,0,0,0,0,0,0,1
19779,6582,1,40,22,1746,0,2,0,0,1,0,0,0,0,0
