SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
42,591,1,25,23,2460,0,2,1,0,0,0,0,0,0,0,0,0,0
82,9307,1,40,29,2204,0,4,0,1,0,0,0,0,0,0,0,0,0
103,10684,1,53,22,2564,0,2,1,0,0,0,0,0,0,0,0,0,0
145,10220,1,51,30,2249,0,3,0,0,1,0,0,0,0,0,0,0,0
160,10839,1,22,12,1807,0,5,0,0,0,1,0,0,0,0,0,0,0
213,8918,1,38,3,2319,0,7,0,0,0,0,1,0,0,0,0,0,0
322,2093,1,36,29,2337,0,6,0,0,0,0,0,1,0,0,0,0,0
404,5187,1,30,16,2177,0,11,0,0,0,0,0,0,1,0,0,0,0
417,412,1,40,17,2348,0,10,0,0,0,0,0,0,0,1,0,0,0
475,222,1,48,19,2343,0,8,0,0,0,0,0,0,0,0,1,0,0
535,6358,1,20,22,2080,0,1,0,0,0,0,0,0,0,0,0,1,0
556,2743,1,18,27,2093,0,3,0,0,1,0,0,0,0,0,0,0,0
639,3222,1,65,25,1097,0,6,0,0,0,0,0,1,0,0,0,0,0
653,2518,1,55,9,1990,0,3,0,0,1,0,0,0,0,0,0,0,0
662,9184,1,65,24,2554,0,5,0,0,0,1,0,0,0,0,0,0,0
690,5162,1,65,24,2203,0,2,1,0,0,0,0,0,0,0,0,0,0
691,4668,1,35,2,2706,0,1,0,0,0,0,0,0,0,0,0,1,0
723,3896,1,36,10,2261,0,3,0,0,1,0,0,0,0,0,0,0,0
726,865,1,35,15,1775,0,11,0,0,0,0,0,0,1,0,0,0,0
749,4343,1,35,18,2099,0,4,0,1,0,0,0,0,0,0,0,0,0
795,8309,1,58,24,2124,0,11,0,0,0,0,0,0,1,0,0,0,0
796,9506,1,40,8,2167,0,3,0,0,1,0,0,0,0,0,0,0,0
798,4683,1,68,24,2854,0,5,0,0,0,1,0,0,0,0,0,0,0
812,1055,1,50,29,1635,0,4,0,1,0,0,0,0,0,0,0,0,0
825,10223,1,38,18,2129,0,9,0,0,0,0,0,0,0,0,0,0,1
830,62,1,48,17,2515,0,1,0,0,0,0,0,0,0,0,0,1,0
919,2784,1,22,21,1931,0,8,0,0,0,0,0,0,0,0,1,0,0
943,11418,1,30,10,1248,0,9,0,0,0,0,0,0,0,0,0,0,1
954,3275,1,21,28,3033,0,3,0,0,1,0,0,0,0,0,0,0,0
1006,8426,1,54,21,2940,0,5,0,0,0,1,0,0,0,0,0,0,0
1078,3442,1,37,20,2043,0,9,0,0,0,0,0,0,0,0,0,0,1
1155,356,1,24,13,2289,0,5,0,0,0,1,0,0,0,0,0,0,0
1203,4439,1,50,27,2175,0,5,0,0,0,1,0,0,0,0,0,0,0
1219,4760,1,28,18,2237,0,11,0,0,0,0,0,0,1,0,0,0,0
1220,1724,1,61,1,2729,1,7,0,0,0,0,1,0,0,0,0,0,0
1225,8391,1,50,9,2270,0,3,0,0,1,0,0,0,0,0,0,0,0
1253,11704,1,19,12,2119,0,5,0,0,0,1,0,0,0,0,0,0,0
1269,9592,1,40,26,1834,0,5,0,0,0,1,0,0,0,0,0,0,0
1288,6369,1,50,16,2382,0,11,0,0,0,0,0,0,1,0,0,0,0
1311,11714,1,19,20,2554,0,9,0,0,0,0,0,0,0,0,0,0,1
1388,1694,1,24,27,2187,0,5,0,0,0,1,0,0,0,0,0,0,0
1407,2879,1,45,9,2334,0,4,0,1,0,0,0,0,0,0,0,0,0
1466,6419,1,42,25,2567,0,6,0,0,0,0,0,1,0,0,0,0,0
1497,124,1,33,2,2632,0,9,0,0,0,0,0,0,0,0,0,0,1
1516,10378,1,38,18,1858,0,11,0,0,0,0,0,0,1,0,0,0,0
1544,4330,1,31,20,1867,0,8,0,0,0,0,0,0,0,0,1,0,0
1546,2645,1,45,19,2094,0,8,0,0,0,0,0,0,0,0,1,0,0
1547,2261,1,41,15,3771,0,1,0,0,0,0,0,0,0,0,0,1,0
1597,5586,1,24,19,2366,0,11,0,0,0,0,0,0,1,0,0,0,0
1600,6830,1,27,24,2388,0,2,1,0,0,0,0,0,0,0,0,0,0
1610,6232,1,18,12,2554,0,3,0,0,1,0,0,0,0,0,0,0,0
1645,4731,1,25,11,2262,0,9,0,0,0,0,0,0,0,0,0,0,1
