SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
37048,11622,1,37,7,2713,1,8,0,0,0,1,0,0,0,0,0
37066,10140,1,27,18,631,0,6,0,0,0,0,0,0,0,0,1
37185,11837,1,35,20,1550,0,3,0,1,0,0,0,0,0,0,0
37238,10051,1,42,11,1859,0,8,0,0,0,1,0,0,0,0,0
37260,6378,1,46,6,449,0,7,0,0,0,0,0,1,0,0,0
37387,11335,1,48,19,4854,0,9,1,0,0,0,0,0,0,0,0
37420,4960,1,29,10,1726,0,9,1,0,0,0,0,0,0,0,0
37434,10347,1,25,30,2365,0,4,0,0,0,0,0,0,0,1,0
37439,662,1,52,10,1579,0,9,1,0,0,0,0,0,0,0,0
37476,2565,1,45,4,1487,0,8,0,0,0,1,0,0,0,0,0
37524,10509,1,20,18,2640,0,1,0,0,1,0,0,0,0,0,0
37525,7718,1,39,29,2569,0,7,0,0,0,0,0,1,0,0,0
37563,11350,1,72,23,1940,0,9,1,0,0,0,0,0,0,0,0
37605,11860,1,45,12,2314,0,6,0,0,0,0,0,0,0,0,1
37620,901,1,37,8,1737,0,4,0,0,0,0,0,0,0,1,0
37679,4797,1,65,11,1972,0,8,0,0,0,1,0,0,0,0,0
37698,7391,1,65,6,1151,0,1,0,0,1,0,0,0,0,0,0
37713,5460,1,55,16,1347,0,5,0,0,0,0,1,0,0,0,0
37746,5791,1,45,21,3874,0,7,0,0,0,0,0,1,0,0,0
37752,3606,1,60,1,2303,1,1,0,0,1,0,0,0,0,0,0
37790,3796,1,30,18,1432,0,5,0,0,0,0,1,0,0,0,0
37808,7009,1,27,3,1058,0,9,1,0,0,0,0,0,0,0,0
37812,5380,1,62,6,3040,0,8,0,0,0,1,0,0,0,0,0
37841,6280,1,29,14,1713,0,9,1,0,0,0,0,0,0,0,0
37876,8740,1,24,12,3325,0,4,0,0,0,0,0,0,0,1,0
37913,2146,1,29,10,826,0,6,0,0,0,0,0,0,0,0,1
37933,6645,1,28,8,2380,0,8,0,0,0,1,0,0,0,0,0
37958,2690,1,28,16,1769,0,5,0,0,0,0,1,0,0,0,0
37968,11482,1,30,27,1744,0,3,0,1,0,0,0,0,0,0,0
37978,6545,1,60,22,1561,0,6,0,0,0,0,0,0,0,0,1
37981,1545,1,37,18,1849,0,1,0,0,1,0,0,0,0,0,0
37983,707,1,32,4,1580,0,3,0,1,0,0,0,0,0,0,0
38045,1480,1,23,3,1753,0,7,0,0,0,0,0,1,0,0,0
38081,2397,1,35,23,1486,0,7,0,0,0,0,0,1,0,0,0
38162,2399,1,59,9,2084,0,8,0,0,0,1,0,0,0,0,0
38164,2594,1,25,12,2155,0,6,0,0,0,0,0,0,0,0,1
38243,8859,1,35,22,1906,0,2,0,0,0,0,0,0,1,0,0
38285,3247,1,64,8,2527,0,9,1,0,0,0,0,0,0,0,0
38320,10145,1,18,20,1083,0,5,0,0,0,0,1,0,0,0,0
38321,2854,1,80,1,1433,1,3,0,1,0,0,0,0,0,0,0
38364,8334,1,32,28,1767,0,1,0,0,1,0,0,0,0,0,0
38369,4404,1,50,25,2678,0,7,0,0,0,0,0,1,0,0,0
38465,10897,1,49,26,1522,0,4,0,0,0,0,0,0,0,1,0
38484,3101,1,70,27,2989,0,7,0,0,0,0,0,1,0,0,0
38508,4661,1,35,6,1830,0,1,0,0,1,0,0,0,0,0,0
38519,11818,1,38,2,2321,0,7,0,0,0,0,0,1,0,0,0
38572,6150,1,58,18,1914,0,5,0,0,0,0,1,0,0,0,0
38573,1054,1,50,8,1569,0,3,0,1,0,0,0,0,0,0,0
38579,3483,1,55,21,1419,0,8,0,0,0,1,0,0,0,0,0
38580,11401,1,25,10,2083,0,9,1,0,0,0,0,0,0,0,0
38689,10503,1,36,6,797,0,8,0,0,0,1,0,0,0,0,0
38715,496,1,32,6,1822,0,7,0,0,0,0,0,1,0,0,0
38725,1281,1,20,16,1726,0,9,1,0,0,0,0,0,0,0,0
38958,8339,1,62,6,1670,0,3,0,1,0,0,0,0,0,0,0
39097,2654,1,36,23,1610,0,2,0,0,0,0,0,0,1,0,0
39151,9887,1,40,28,1538,0,1,0,0,1,0,0,0,0,0,0
39164,2703,1,60,16,1632,0,9,1,0,0,0,0,0,0,0,0
39300,4619,1,66,4,1781,0,4,0,0,0,0,0,0,0,1,0
39312,5835,1,45,15,2821,0,8,0,0,0,1,0,0,0,0,0
39367,824,1,45,17,1605,0,6,0,0,0,0,0,0,0,0,1
39372,5888,1,65,22,2385,0,7,0,0,0,0,0,1,0,0,0
39384,8971,1,19,9,893,0,9,1,0,0,0,0,0,0,0,0
39389,9358,1,30,14,3428,0,1,0,0,1,0,0,0,0,0,0
39430,6355,1,60,3,1812,0,9,1,0,0,0,0,0,0,0,0
39510,2275,1,90,14,960,0,8,0,0,0,1,0,0,0,0,0
39524,11082,1,35,19,1986,0,9,1,0,0,0,0,0,0,0,0
39558,11182,1,48,22,1228,0,2,0,0,0,0,0,0,1,0,0
39569,6858,1,60,22,2586,0,6,0,0,0,0,0,0,0,0,1
39579,6233,1,50,20,1385,0,9,1,0,0,0,0,0,0,0,0
39643,4863,1,55,8,1781,0,8,0,0,0,1,0,0,0,0,0
39670,5192,1,56,20,2429,0,8,0,0,0,1,0,0,0,0,0
39674,10891,1,25,23,1713,0,3,0,1,0,0,0,0,0,0,0
39710,6352,1,25,11,1541,0,2,0,0,0,0,0,0,1,0,0
